date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:02:06	17085/17085	---MC-	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202017%2023:02:05%20GMT	http://www.cruizersbarandgrill.com/services	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/services.html	(from http://www.cruizersbarandgrill.com/)
15:02:07	35217/35217	---MC-	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202017%2023:02:06%20GMT	http://www.cruizersbarandgrill.com/contact_us	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/contact_us.html	(from http://www.cruizersbarandgrill.com/)
15:02:08	4773/4773	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Jan%202013%2002:57:30%20GMT	http://www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_0019_1.20185721_sq_thumb_s.JPG	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_0019_1.20185721_sq_thumb_s.jpg	(from http://www.cruizersbarandgrill.com/home_page/cruizers_photos)
15:02:16	61683/61683	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Feb%202016%2019:32:17%20GMT	http://www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/cruizers_bike_homepage.43113217_std.jpg	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/cruizers_bike_homepage.43113217_std.jpg	(from http://www.cruizersbarandgrill.com/)
15:02:17	3487/3487	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Jan%202013%2002:59:05%20GMT	http://www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_0020.20185855_sq_thumb_s.JPG	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_0020.20185855_sq_thumb_s.jpg	(from http://www.cruizersbarandgrill.com/home_page/cruizers_photos)
15:02:19	76492/76492	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Sep%202016%2021:07:26%20GMT	http://www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/Chalkboard-Fundo-4_copy_2.264140725_std.jpg	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/Chalkboard-Fundo-4_copy_2.264140725_std.jpg	(from http://www.cruizersbarandgrill.com/)
15:02:20	3784/3784	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Jan%202013%2003:03:27%20GMT	http://www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_0006.20190318_sq_thumb_s.JPG	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_0006.20190318_sq_thumb_s.jpg	(from http://www.cruizersbarandgrill.com/home_page/cruizers_photos)
15:02:24	96640/96640	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Jan%202013%2002:59:00%20GMT	http://www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_0020.20185855_large.JPG	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_0020.20185855_large.jpg	(from http://www.cruizersbarandgrill.com/home_page/cruizers_photos)
15:02:25	4683/4683	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Jan%202013%2003:05:54%20GMT	http://www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_0033_1.20190546_sq_thumb_s.JPG	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_0033_1.20190546_sq_thumb_s.jpg	(from http://www.cruizersbarandgrill.com/home_page/cruizers_photos)
15:02:41	214351/214351	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Jan%202013%2002:57:25%20GMT	http://www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_0019_1.20185721_large.JPG	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_0019_1.20185721_large.jpg	(from http://www.cruizersbarandgrill.com/home_page/cruizers_photos)
15:02:42	158461/158461	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Jan%202013%2003:03:22%20GMT	http://www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_0006.20190318_large.JPG	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_0006.20190318_large.jpg	(from http://www.cruizersbarandgrill.com/home_page/cruizers_photos)
15:02:42	4035/4035	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Jan%202013%2003:07:57%20GMT	http://www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_0017.20190749_sq_thumb_s.JPG	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_0017.20190749_sq_thumb_s.jpg	(from http://www.cruizersbarandgrill.com/home_page/cruizers_photos)
15:02:43	3713/3713	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Jan%202013%2003:09:33%20GMT	http://www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_0012.20190924_sq_thumb_s.JPG	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_0012.20190924_sq_thumb_s.jpg	(from http://www.cruizersbarandgrill.com/home_page/cruizers_photos)
15:02:46	161754/161754	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Jan%202013%2003:05:49%20GMT	http://www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_0033_1.20190546_large.JPG	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_0033_1.20190546_large.jpg	(from http://www.cruizersbarandgrill.com/home_page/cruizers_photos)
15:02:47	2865/2865	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Jan%202013%2003:14:22%20GMT	http://www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_0122.20191413_sq_thumb_s.JPG	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_0122.20191413_sq_thumb_s.jpg	(from http://www.cruizersbarandgrill.com/home_page/cruizers_photos)
15:02:48	141283/141283	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Jan%202013%2003:07:52%20GMT	http://www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_0017.20190749_large.JPG	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_0017.20190749_large.jpg	(from http://www.cruizersbarandgrill.com/home_page/cruizers_photos)
